t,x
3.24,-0.684547
3.245,-0.696931
3.25,-0.707107
3.255,-0.719177
3.26,-0.728969
3.265,-0.740713
3.27,-0.750111
3.275,-0.761519
3.28,-0.770513
3.285,-0.781572
3.29,-0.790155
3.295,-0.800855
3.3,-0.809017
3.305,-0.819347
3.31,-0.827081
3.315,-0.83703
3.32,-0.844328
3.325,-0.853888
3.33,-0.860742
3.335,-0.869902
3.34,-0.876307
3.345,-0.885059
3.35,-0.891007
3.355,-0.899341
3.36,-0.904827
3.365,-0.912737
3.37,-0.917755
3.375,-0.925231
3.38,-0.929776
3.385,-0.936813
3.39,-0.940881
3.395,-0.94747
3.4,-0.951057
3.405,-0.957191
3.41,-0.960294
3.415,-0.965969
3.42,-0.968583
3.425,-0.973793
3.43,-0.975917
3.435,-0.980656
3.44,-0.982287
3.445,-0.986551
3.45,-0.987688
3.455,-0.991472
3.46,-0.992115
3.465,-0.995415
3.47,-0.995562
3.475,-0.998376
3.48,-0.998027
3.485,-1.00035
3.49,-0.999507
3.495,-1.00134
3.5,-1
3.505,-1.00134
3.51,-0.999507
3.515,-1.00035
3.52,-0.998027
3.525,-0.998376
3.53,-0.995562
3.535,-0.995415
3.54,-0.992115
3.545,-0.991472
3.55,-0.987688
3.555,-0.986551
3.56,-0.982287
3.565,-0.980656
3.57,-0.975917
3.575,-0.973793
3.58,-0.968583
3.585,-0.965969
3.59,-0.960294
3.595,-0.957191
3.6,-0.951057
3.605,-0.94747
3.61,-0.940881
3.615,-0.936813
3.62,-0.929776
3.625,-0.925231
3.63,-0.917755
3.635,-0.912737
3.64,-0.904827
3.645,-0.899341
3.65,-0.891007
3.655,-0.885059
3.66,-0.876307
3.665,-0.869902
3.67,-0.860742
3.675,-0.853888
3.68,-0.844328
3.685,-0.83703
3.69,-0.827081
3.695,-0.819347
3.7,-0.809017
3.705,-0.800855
3.71,-0.790155
3.715,-0.781572
3.72,-0.770513
3.725,-0.761519
3.73,-0.750111
3.735,-0.740713
3.74,-0.728969
3.745,-0.719177
3.75,-0.707107
3.755,-0.696931
3.76,-0.684547
3.765,-0.673997
3.77,-0.661312
3.775,-0.650398
3.78,-0.637424
3.785,-0.626157
3.79,-0.612907
3.795,-0.601299
3.8,-0.587785
3.805,-0.575847
3.81,-0.562083
3.815,-0.549826
3.82,-0.535827
3.825,-0.523263
3.83,-0.509041
3.835,-0.496184
3.84,-0.481754
3.845,-0.468614
3.85,-0.45399
3.855,-0.440583
3.86,-0.425779
3.865,-0.412116
3.87,-0.397148
3.875,-0.383243
3.88,-0.368125
3.885,-0.353992
3.89,-0.338738
3.895,-0.324391
3.9,-0.309017
3.905,-0.294471
3.91,-0.278991
3.915,-0.264259
3.92,-0.24869
3.925,-0.233787
3.93,-0.218143
3.935,-0.203084
3.94,-0.187381
3.945,-0.172181
3.95,-0.156434
3.955,-0.141107
3.96,-0.125333
3.965,-0.109895
3.97,-0.0941083
3.975,-0.0785739
3.98,-0.0627905
3.985,-0.0471754
3.99,-0.0314108
3.995,-0.0157303
4,-4.89859e-16
4.005,0.0157303
4.01,0.0314108
4.015,0.0471754
4.02,0.0627905
4.025,0.0785739
4.03,0.0941083
4.035,0.109895
4.04,0.125333
4.045,0.141107
4.05,0.156434
4.055,0.172181
4.06,0.187381
4.065,0.203084
4.07,0.218143
4.075,0.233787
4.08,0.24869
4.085,0.264259
4.09,0.278991
4.095,0.294471
4.1,0.309017
4.105,0.324391
4.11,0.338738
4.115,0.353992
4.12,0.368125
4.125,0.383243
4.13,0.397148
4.135,0.412116
4.14,0.425779
4.145,0.440583
4.15,0.45399
4.155,0.468614
4.16,0.481754
4.165,0.496184
4.17,0.509041
4.175,0.523263
4.18,0.535827
4.185,0.549826
4.19,0.562083
4.195,0.575847
4.2,0.587785
4.205,0.601299
4.21,0.612907
4.215,0.626157
4.22,0.637424
4.225,0.650398
4.23,0.661312
4.235,0.673997
4.24,0.684547
4.245,0.696931
4.25,0.707107
4.255,0.719177
4.26,0.728969
4.265,0.740713
4.27,0.750111
4.275,0.761519
4.28,0.770513
4.285,0.781572
4.29,0.790155
4.295,0.800855
4.3,0.809017
4.305,0.819347
4.31,0.827081
4.315,0.83703
4.32,0.844328
4.325,0.853888
4.33,0.860742
4.335,0.869902
4.34,0.876307
4.345,0.885059
4.35,0.891007
4.355,0.899341
4.36,0.904827
4.365,0.912737
4.37,0.917755
4.375,0.925231
4.38,0.929776
4.385,0.936813
4.39,0.940881
4.395,0.94747
4.4,0.951057
4.405,0.957191
4.41,0.960294
4.415,0.965969
4.42,0.968583
4.425,0.973793
4.43,0.975917
4.435,0.980656
4.44,0.982287
4.445,0.986551
4.45,0.987688
4.455,0.991472
4.46,0.992115
4.465,0.995415
4.47,0.995562
4.475,0.998376
4.48,0.998027
4.485,1.00035
4.49,0.999507
4.495,1.00134
4.5,1
4.505,1.00134
4.51,0.999507
4.515,1.00035
4.52,0.998027
4.525,0.998376
4.53,0.995562
4.535,0.995415
4.54,0.992115
4.545,0.991472
4.55,0.987688
4.555,0.986551
4.56,0.982287
4.565,0.980656
4.57,0.975917
4.575,0.973793
4.58,0.968583
4.585,0.965969
4.59,0.960294
4.595,0.957191
4.6,0.951057
4.605,0.94747
4.61,0.940881
4.615,0.936813
4.62,0.929776
4.625,0.925231
4.63,0.917755
4.635,0.912737
4.64,0.904827
4.645,0.899341
4.65,0.891007
4.655,0.885059
4.66,0.876307
4.665,0.869902
4.67,0.860742
4.675,0.853888
4.68,0.844328
4.685,0.83703
4.69,0.827081
4.695,0.819347
4.7,0.809017
4.705,0.800855
4.71,0.790155
4.715,0.781572
4.72,0.770513
4.725,0.761519
4.73,0.750111
4.735,0.740713
4.74,0.728969
4.745,0.719177
4.75,0.707107
4.755,0.696931
4.76,0.684547
4.765,0.673997
4.77,0.661312
4.775,0.650398
4.78,0.637424
4.785,0.626157
4.79,0.612907
4.795,0.601299
4.8,0.587785
4.805,0.575847
4.81,0.562083
4.815,0.549826
4.82,0.535827
4.825,0.523263
4.83,0.509041
4.835,0.496184
4.84,0.481754
4.845,0.468614
4.85,0.45399
4.855,0.440583
4.86,0.425779
4.865,0.412116
4.87,0.397148
4.875,0.383243
4.88,0.368125
4.885,0.353992
4.89,0.338738
4.895,0.324391
4.9,0.309017
4.905,0.294471
4.91,0.278991
4.915,0.264259
4.92,0.24869
4.925,0.233787
4.93,0.218143
4.935,0.203084
4.94,0.187381
4.945,0.172181
4.95,0.156434
4.955,0.141107
4.96,0.125333
4.965,0.109895
4.97,0.0941083
4.975,0.0785739
4.98,0.0627905
4.985,0.0471754
4.99,0.0314108
4.995,0.0157303
5,6.12323e-16
5.005,-0.0157303
5.01,-0.0314108
5.015,-0.0471754
5.02,-0.0627905
5.025,-0.0785739
5.03,-0.0941083
5.035,-0.109895
5.04,-0.125333
5.045,-0.141107
5.05,-0.156434
5.055,-0.172181
5.06,-0.187381
5.065,-0.203084
5.07,-0.218143
5.075,-0.233787
5.08,-0.24869
5.085,-0.264259
5.09,-0.278991
5.095,-0.294471
5.1,-0.309017
5.105,-0.324391
5.11,-0.338738
5.115,-0.353992
5.12,-0.368125
5.125,-0.383243
5.13,-0.397148
5.135,-0.412116
5.14,-0.425779
5.145,-0.440583
5.15,-0.45399
5.155,-0.468614
5.16,-0.481754
5.165,-0.496184
5.17,-0.509041
5.175,-0.523263
